Farm_ID,Cycle_ID,DOC,PL__SIZE,Variant,Pond_Type,POND_SIZE_Ha,Stocking_Density,Temp,Temp_PM,pH,PH_PM,DO,Alkalinity,Ammonia,Nitrite,Nitrate,Salinity,FTF1,FTF2,FTF3,FTF4,Daily__feed,Cum_Feed,Avg_Weight,FCR
F001,C002,24,1.2,SyAqua,NP,0.485,265000,31,33,8.5,9,5.15,160,0,0,80,7,6.5,6.5,6.5,6.5,26,350.2,,1.28
F001,C002,25,1.2,SyAqua,NP,0.485,265000,32,33,8.5,9,5.15,160,0,0,80,7,6.8,6.7,6.8,6.7,27,377.2,,1.28
F001,C002,26,1.2,SyAqua,NP,0.485,265000,32,33,8.5,9,5.15,160,0,0,80,7,7,7,7,7,28,405.2,,1.28
F001,C002,27,1.2,SyAqua,NP,0.485,265000,33,32,8.5,9,5.15,160,0,0,80,5,7.3,7.2,7.3,7.2,29,434.2,,1.28
F001,C002,28,1.2,SyAqua,NP,0.485,265000,32,33,8.5,9,5.15,160,0,0,80,5,7.5,7.5,7.5,7.5,30,464.2,,1.28
F001,C002,29,1.2,SyAqua,NP,0.485,265000,32,33,8.5,9,5.15,160,0,0,80,5,7.8,7.7,7.8,7.7,31,495.2,,1.28
F001,C002,30,1.2,SyAqua,NP,0.485,265000,32,33,8.5,9,5.15,160,0,0,80,5,8,8.2,8.4,8.4,33,528.2,,1.28
F001,C002,31,1.2,SyAqua,NP,0.485,265000,32,33,8,8.5,5.15,160,0,0,80,5,8.5,8.8,9,9,35.3,563.5,,1.28
F001,C002,32,1.2,SyAqua,NP,0.485,265000,31,33,8,8.5,5.15,160,0,0,80,5,9.2,9.2,9.4,9.4,37.2,600.7,,1.28
F001,C002,33,1.2,SyAqua,NP,0.485,265000,31,32,8,8.5,5.15,160,0,0,80,5,9.8,10,10.2,10.2,40.2,640.9,,1.28
F001,C002,34,1.2,SyAqua,NP,0.485,265000,31,30,8,8.5,5.15,160,0,0,80,5,10.4,10.6,10.8,10.8,42.6,683.5,,1.28
F001,C002,35,1.2,SyAqua,NP,0.485,265000,30,31,8,8.5,5.15,160,0,0,80,5,11,11,11,11,44,727.5,,1.28
F001,C002,36,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,11.4,11.4,11.6,11.6,46,773.5,,1.28
F001,C002,37,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,11.6,11.6,11.6,11.6,46.4,819.9,,1.28
F001,C002,38,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,11.6,12.4,12,12,48,867.9,,1.28
F001,C002,39,1.2,SyAqua,NP,0.485,265000,30,32,7.5,8,5.15,160,0,0,80,5,12,12,12,12,48,915.9,,1.28
F001,C002,40,1.2,SyAqua,NP,0.485,265000,31,32,7.5,8,5.15,160,0,0,80,5,13,14,15,15,57,972.9,,1.28
F001,C002,41,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,15,16,17,17,65,1037.9,,1.28
F001,C002,42,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,17,16,15,15,63,1100.9,,1.28
F001,C002,43,1.2,SyAqua,NP,0.485,265000,29,31,7.5,8,5.15,160,0,0,80,5,15,15,15,15,60,1160.9,,1.28
F001,C002,44,1.2,SyAqua,NP,0.485,265000,29,30,7.5,8,5.15,160,0,0,80,5,15,15,15,15,60,1220.9,,1.28
F001,C002,45,1.2,SyAqua,NP,0.485,265000,29,31,7.5,8,5.15,160,0,0,80,5,15,15,15,15,60,1280.9,,1.28
F001,C002,46,1.2,SyAqua,NP,0.485,265000,29,30,7.5,8,5.15,160,0,0,80,5,15,16,17,17,65,1345.9,,1.28
F001,C002,47,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,17,18,18,18,71,1416.9,,1.28
F001,C002,48,1.2,SyAqua,NP,0.485,265000,29,30,7.5,8,5.15,160,0,0,80,5,18.2,17,18,18,71.2,1488.1,,1.28
F001,C002,49,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,18,19,19.3,18,74.3,1562.4,6.7,1.28
F001,C002,50,1.2,SyAqua,NP,0.485,265000,32,33,7.5,8,5.15,160,0,0,80,5,18,19,19,19,75,1637.4,,1.28
F001,C002,51,1.2,SyAqua,NP,0.485,265000,30,32,7.5,8,5.15,160,0,0,80,5,19,19,20,20,78,1715.4,,1.28
F001,C002,52,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,20,20,20,20,80,1795.4,,1.28
F001,C002,53,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,20,21,20,20,81,1876.4,7.8,1.28
F001,C002,54,1.2,SyAqua,NP,0.485,265000,31,32,7.5,8,5.15,160,0,0,80,5,20,21,22,22,85,1961.4,,1.28
F001,C002,55,1.2,SyAqua,NP,0.485,265000,29,30,7.5,8,5.15,160,0,0,80,5,22,21,21,21,85,2046.4,,1.28
F001,C002,56,1.2,SyAqua,NP,0.485,265000,29,30,7.5,8,5.15,160,0,0,80,5,21,22,22,22,87,2133.4,,1.28
F001,C002,57,1.2,SyAqua,NP,0.485,265000,29,30,7.5,8,5.15,160,0,0,80,5,22,22,21,21,86,2219.4,,1.28
F001,C002,58,1.2,SyAqua,NP,0.485,265000,29,32,7.5,8,5.15,160,0,0,80,5,21,20,22,20,83,2302.4,,1.28
F001,C002,59,1.2,SyAqua,NP,0.485,265000,30,32,7.5,8,5.15,160,0,0,80,5,21,21,22,22,86,2388.4,,1.28
F001,C002,60,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,23,23,21,21,88,2476.4,,1.28
F001,C002,61,1.2,SyAqua,NP,0.485,265000,31,32,7.5,8,5.15,160,0,0,80,5,21,21,22,22,86,2562.4,,1.28
F001,C002,62,1.2,SyAqua,NP,0.485,265000,30,32,7.5,8,5.15,160,0,0,80,5,23,23,24,23,93,2655.4,9.9,1.28
F001,C002,63,1.2,SyAqua,NP,0.485,265000,31,32,7.5,8,5.15,160,0,0,80,5,24,25,25,26,100,2755.4,,1.28
F001,C002,64,1.2,SyAqua,NP,0.485,265000,31,32,7.5,8,5.15,160,0,0,80,5,26,26,25,25,102,2857.4,,1.28
F001,C002,65,1.2,SyAqua,NP,0.485,265000,30,32,7.5,8,5.15,160,0,0,80,5,25,25,26,25,101,2958.4,,1.28
F001,C002,66,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0,0,80,5,25,24,25,26,100,3058.4,,1.28
F001,C002,67,1.2,SyAqua,NP,0.485,265000,31,32,7.5,8,5.15,160,0,0,80,5,26,27,27,26,106,3164.4,13,1.28
F001,C002,68,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0.25,0,80,4,25,24,25,25,99,3263.4,,1.28
F001,C002,69,1.2,SyAqua,NP,0.485,265000,29,30,7,7.5,5.15,160,0.25,0,80,4,25,24,25,25,99,3362.4,,1.28
F001,C002,70,1.2,SyAqua,NP,0.485,265000,29,30,7.5,8,5.15,160,0.25,0,80,4,25,25,25,25,100,3462.4,,1.28
F001,C002,71,1.2,SyAqua,NP,0.485,265000,28,27,7,7.5,5.15,160,0.25,0,80,4,25,25,24,24,98,3560.4,,1.28
F001,C002,72,1.2,SyAqua,NP,0.485,265000,27,27,7,7.5,5.15,160,1,0,80,4,24,24,24,24,96,3656.4,,1.28
F001,C002,73,1.2,SyAqua,NP,0.485,265000,29,31,7,7.5,5.15,160,1,0,80,4,24,24,23,23,94,3750.4,,1.28
F001,C002,74,1.2,SyAqua,NP,0.485,265000,30,31,7,7.5,5.15,160,1,0,80,4,23,24,25,24,96,3846.4,,1.28
F001,C002,75,1.2,SyAqua,NP,0.485,265000,31,32,7.5,8,5.15,160,0.5,0,80,4,24,24,25,25,98,3944.4,,1.28
F001,C002,76,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0.5,0,80,4,25,26,25,25,101,4045.4,,1.28
F001,C002,77,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0.5,0,80,4,25,25,26,26,102,4147.4,15.2,1.28
F001,C002,78,1.2,SyAqua,NP,0.485,265000,31,32,7.5,8,5.15,160,0.5,0,80,4,26,27,28,28,109,4256.4,,1.28
F001,C002,79,1.2,SyAqua,NP,0.485,265000,30,31,7.5,8,5.15,160,0.5,0,80,4,28,29,30,30,117,4373.4,,1.28
F001,C002,80,1.2,SyAqua,NP,0.485,265000,30,29,7,7.5,5.15,160,1,0,80,3,30,31,31,31,123,4496.4,,1.28
F001,C002,81,1.2,SyAqua,NP,0.485,265000,29,30,7,7.5,5.15,160,1,0,80,3,31,32,33,33,129,4625.4,,1.28
F001,C002,82,1.2,SyAqua,NP,0.485,265000,29,30,7,7.5,5.15,160,1,0,80,3,33,33,34,34,134,4759.4,,1.28
F001,C002,83,1.2,SyAqua,NP,0.485,265000,29,30,7,7.5,5.15,160,1,0,80,3,34,33,33,32,132,4891.4,,1.28
F001,C002,84,1.2,SyAqua,NP,0.485,265000,29,31,7,7.5,5.15,160,1,0,80,3,32,32,32,32,128,5019.4,17.9,1.28
